age_band,comp_band,cb_conservative,cb_moderate,cb_aggressive,SalaryGrowthPct,InterestCreditPct,ProfitSharePct,CPA_ID
25,50000,470,65114,97671,3,4,6,COMP_LIMIT
25,100000,940,65114,97671,3,4,6,COMP_LIMIT
25,150000,1410,65114,97671,3,4,6,COMP_LIMIT
25,200000,1880,65114,97671,3,4,6,COMP_LIMIT
25,250000,2350,65114,97671,3,4,6,COMP_LIMIT
25,300000,2820,65114,97671,3,4,6,415B_LIMIT
25,350000,3290,65114,97671,3,4,6,415B_LIMIT
26,50000,500,68558,102837,3,4,6,COMP_LIMIT
26,100000,1000,68558,102837,3,4,6,COMP_LIMIT
26,150000,1500,68558,102837,3,4,6,COMP_LIMIT
26,200000,2000,68558,102837,3,4,6,COMP_LIMIT
26,250000,2500,68558,102837,3,4,6,COMP_LIMIT
26,300000,3001,68558,102837,3,4,6,415B_LIMIT
26,350000,3501,68558,102837,3,4,6,415B_LIMIT
27,50000,533,72232,108348,3,4,6,COMP_LIMIT
27,100000,1066,72232,108348,3,4,6,COMP_LIMIT
27,150000,1598,72232,108348,3,4,6,COMP_LIMIT
27,200000,2131,72232,108348,3,4,6,COMP_LIMIT
27,250000,2664,72232,108348,3,4,6,COMP_LIMIT
27,300000,3197,72232,108348,3,4,6,415B_LIMIT
27,350000,3729,72232,108348,3,4,6,415B_LIMIT
28,50000,568,76154,114231,3,4,6,COMP_LIMIT
28,100000,1137,76154,114231,3,4,6,COMP_LIMIT
28,150000,1705,76154,114231,3,4,6,COMP_LIMIT
28,200000,2273,76154,114231,3,4,6,COMP_LIMIT
28,250000,2842,76154,114231,3,4,6,COMP_LIMIT
28,300000,3410,76154,114231,3,4,6,415B_LIMIT
28,350000,3978,76154,114231,3,4,6,415B_LIMIT
29,50000,607,80350,120525,3,4,6,COMP_LIMIT
29,100000,1214,80350,120525,3,4,6,COMP_LIMIT
29,150000,1821,80350,120525,3,4,6,COMP_LIMIT
29,200000,2428,80350,120525,3,4,6,COMP_LIMIT
29,250000,3035,80350,120525,3,4,6,COMP_LIMIT
29,300000,3642,80350,120525,3,4,6,415B_LIMIT
29,350000,4249,80350,120525,3,4,6,415B_LIMIT
30,50000,836,109200,163800,3,4,6,COMP_LIMIT
30,100000,1672,109200,163800,3,4,6,COMP_LIMIT
30,150000,2507,109200,163800,3,4,6,COMP_LIMIT
30,200000,3343,109200,163800,3,4,6,COMP_LIMIT
30,250000,4179,109200,163800,3,4,6,COMP_LIMIT
30,300000,5015,109200,163800,3,4,6,415B_LIMIT
30,350000,5851,109200,163800,3,4,6,415B_LIMIT
31,50000,869,112000,168000,3,4,6,COMP_LIMIT
31,100000,1738,112000,168000,3,4,6,COMP_LIMIT
31,150000,2607,112000,168000,3,4,6,COMP_LIMIT
